"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group D","bachelor's degree","free/reduced","completed","76","95","90"
"male","group C","some college","standard","none","73","66","57"
"female","group E","bachelor's degree","standard","none","60","63","70"
"female","group B","some high school","standard","completed","65","73","72"
"female","group D","some college","standard","none","68","72","76"
"female","group D","associate's degree","standard","none","75","71","78"
"female","group D","associate's degree","standard","none","90","100","98"
"male","group D","high school","standard","none","73","69","64"
"female","group E","master's degree","standard","none","100","93","100"
"female","group C","high school","free/reduced","completed","56","68","73"
"female","group D","high school","standard","none","68","77","69"
"male","group B","some high school","standard","none","69","64","59"
"female","group E","bachelor's degree","standard","none","90","91","89"
"male","group B","associate's degree","standard","completed","89","83","81"
"male","group D","some college","free/reduced","none","74","72","70"
"male","group C","bachelor's degree","free/reduced","completed","53","55","53"
"male","group C","some college","standard","none","65","57","53"
"male","group E","some college","free/reduced","none","98","84","78"
"female","group A","associate's degree","free/reduced","none","53","69","67"
"female","group D","master's degree","free/reduced","completed","65","76","78"
"male","group C","some high school","free/reduced","completed","52","57","60"
"female","group A","some high school","standard","completed","86","97","94"
"female","group C","master's degree","free/reduced","none","79","89","87"
"male","group B","high school","standard","none","61","57","47"
"female","group D","some college","free/reduced","none","53","65","66"
"female","group D","bachelor's degree","standard","none","95","88","91"
"male","group C","some high school","standard","completed","81","81","81"
"male","group B","some high school","standard","none","64","66","62"
"female","group C","some college","free/reduced","completed","64","72","73"
"female","group B","high school","free/reduced","completed","67","72","71"
"female","group C","some high school","standard","none","63","79","72"
"male","group B","associate's degree","free/reduced","completed","64","69","67"
"male","group B","some college","standard","none","67","59","49"
"female","group C","high school","standard","completed","60","70","70"
"female","group C","bachelor's degree","free/reduced","none","73","94","90"
"female","group D","bachelor's degree","standard","none","59","69","74"
"female","group C","some high school","free/reduced","completed","56","77","77"
"male","group D","associate's degree","standard","none","85","75","68"
"male","group D","bachelor's degree","standard","none","64","62","62"
"male","group D","some high school","free/reduced","completed","68","62","62"
"male","group D","some high school","free/reduced","none","60","51","44"
"male","group A","some high school","free/reduced","none","48","55","48"
"female","group D","some high school","standard","completed","69","82","85"
"female","group C","some high school","free/reduced","none","62","71","66"
"female","group D","bachelor's degree","standard","completed","67","91","94"
"female","group C","high school","standard","none","68","85","76"
"female","group E","associate's degree","free/reduced","none","65","74","73"
"female","group D","master's degree","standard","completed","86","95","98"
"male","group E","some high school","free/reduced","completed","79","74","77"
"female","group C","some college","free/reduced","none","68","67","72"
"male","group B","some high school","standard","none","47","32","28"
"female","group B","high school","standard","completed","65","72","71"
"male","group B","associate's degree","standard","none","61","55","56"
"female","group C","associate's degree","standard","none","68","72","70"
"male","group D","bachelor's degree","standard","completed","100","100","100"
"male","group C","associate's degree","standard","none","76","69","61"
"male","group D","master's degree","free/reduced","none","62","55","54"
"male","group D","associate's degree","free/reduced","none","59","55","58"
"male","group C","bachelor's degree","standard","none","92","83","86"
"female","group A","some high school","standard","completed","67","86","83"
"female","group E","some college","standard","none","59","67","60"
"male","group C","associate's degree","standard","none","57","61","52"
"male","group A","master's degree","standard","none","100","85","89"
"female","group A","high school","standard","completed","75","81","81"
"female","group C","bachelor's degree","standard","none","54","62","68"
"female","group A","high school","standard","none","54","67","66"
"male","group C","some high school","standard","none","61","56","53"
"male","group D","some high school","standard","none","57","53","50"
"female","group C","bachelor's degree","standard","none","85","93","97"
"male","group B","bachelor's degree","standard","none","66","70","61"
"female","group D","some college","free/reduced","none","50","66","69"
"male","group B","some college","standard","completed","69","67","73"
"male","group A","associate's degree","free/reduced","none","72","73","68"
"male","group D","bachelor's degree","standard","none","87","76","76"
"male","group E","some high school","standard","completed","80","70","69"
"male","group E","some high school","standard","none","81","63","57"
"female","group B","some college","free/reduced","completed","72","90","86"
"female","group C","some high school","free/reduced","completed","74","79","87"
"female","group C","high school","standard","none","68","68","66"
"male","group B","some college","standard","none","87","79","86"
"male","group C","associate's degree","free/reduced","none","64","64","54"
"female","group C","some high school","standard","none","42","60","50"
"male","group A","associate's degree","free/reduced","none","79","75","74"
"male","group E","some college","standard","none","72","67","62"
"male","group C","associate's degree","standard","completed","96","85","85"
"female","group E","associate's degree","standard","none","76","77","74"
"male","group D","associate's degree","standard","none","54","57","43"
"female","group E","associate's degree","standard","none","63","77","73"
"female","group B","some college","standard","none","80","90","86"
"female","group E","high school","standard","completed","69","72","74"
"female","group B","some college","standard","none","70","84","77"
"female","group B","master's degree","standard","completed","90","100","100"
"male","group D","some college","standard","none","64","64","61"
"female","group C","high school","standard","none","41","55","54"
"male","group B","some high school","standard","none","65","65","59"
"female","group D","some college","free/reduced","none","54","71","67"
"male","group C","some high school","standard","none","77","67","65"
"female","group E","associate's degree","standard","none","95","100","97"
"male","group C","some college","standard","completed","84","77","74"
"female","group B","associate's degree","free/reduced","completed","77","84","84"
