"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group C","bachelor's degree","free/reduced","none","62","61","56"
"female","group C","associate's degree","standard","none","82","91","90"
"female","group C","some college","standard","none","57","60","63"
"male","group D","some college","standard","none","94","90","87"
"male","group C","associate's degree","free/reduced","none","63","63","54"
"female","group D","high school","standard","completed","70","73","77"
"female","group C","bachelor's degree","standard","none","41","47","46"
"male","group C","associate's degree","standard","completed","97","92","100"
"female","group E","some college","standard","none","66","82","78"
"male","group B","high school","standard","none","60","63","54"
"female","group E","bachelor's degree","standard","completed","100","100","100"
"female","group C","bachelor's degree","standard","completed","55","68","75"
"female","group C","high school","standard","none","35","44","39"
"male","group B","high school","free/reduced","none","53","51","50"
"female","group B","master's degree","standard","none","85","96","98"
"male","group D","associate's degree","standard","completed","90","93","90"
"female","group C","associate's degree","standard","completed","68","84","85"
"male","group A","some college","free/reduced","none","49","49","42"
"male","group C","some high school","free/reduced","none","60","63","62"
"female","group A","high school","standard","completed","62","84","83"
"male","group D","associate's degree","free/reduced","completed","53","65","65"
"male","group C","associate's degree","free/reduced","completed","70","75","74"
"female","group C","associate's degree","standard","none","76","85","88"
"female","group B","some high school","standard","none","64","69","67"
"male","group D","some college","standard","completed","87","83","78"
"male","group D","high school","standard","none","88","84","78"
"female","group A","associate's degree","standard","completed","47","60","59"
"female","group E","high school","free/reduced","completed","61","78","73"
"male","group B","some college","standard","none","48","48","49"
"female","group C","bachelor's degree","standard","none","25","41","36"
"male","group B","some college","standard","completed","56","60","56"
"male","group B","associate's degree","standard","none","89","88","86"
"male","group D","bachelor's degree","standard","none","91","91","87"
"female","group C","bachelor's degree","standard","none","89","85","88"
"female","group E","associate's degree","standard","completed","75","77","78"
"male","group C","master's degree","standard","none","92","88","81"
"male","group C","high school","standard","none","46","41","35"
"male","group D","some college","standard","none","87","85","83"
"female","group B","some high school","standard","none","70","87","77"
"male","group C","some college","free/reduced","completed","66","63","66"
"male","group E","master's degree","free/reduced","none","51","43","44"
"female","group C","some high school","standard","completed","68","83","84"
"male","group D","some college","free/reduced","completed","68","68","62"
"female","group C","bachelor's degree","standard","none","72","76","74"
"female","group D","bachelor's degree","standard","completed","86","92","100"
"female","group C","high school","standard","none","67","75","64"
"female","group B","high school","free/reduced","completed","51","74","72"
"male","group B","some college","standard","completed","71","63","68"
"male","group B","bachelor's degree","standard","none","44","30","32"
"male","group D","some high school","standard","completed","62","48","51"
"female","group D","some college","standard","completed","64","68","71"
"male","group B","high school","standard","completed","82","72","70"
"female","group A","some college","free/reduced","none","60","68","67"
"male","group C","some college","standard","none","90","79","81"
"female","group C","some college","standard","none","61","61","69"
"male","group B","high school","standard","none","69","63","57"
"female","group C","some college","standard","none","68","78","75"
"male","group B","high school","free/reduced","none","44","41","37"
"female","group B","some high school","standard","none","63","64","66"
"female","group D","some high school","free/reduced","none","73","82","79"
"male","group D","some college","standard","none","74","75","72"
"male","group C","high school","standard","none","69","71","65"
"female","group D","some high school","free/reduced","completed","48","70","71"
