"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group C","some college","standard","none","74","66","74"
"female","group C","associate's degree","standard","completed","93","100","100"
"male","group B","some high school","free/reduced","none","53","43","40"
"male","group C","some high school","free/reduced","none","42","44","38"
"female","group A","high school","standard","none","73","76","82"
"male","group C","some college","free/reduced","none","68","76","67"
"female","group B","some high school","standard","completed","78","87","92"
"male","group B","high school","standard","completed","57","52","54"
"male","group E","associate's degree","free/reduced","none","75","76","68"
"female","group C","bachelor's degree","standard","completed","65","68","73"
"female","group D","some high school","standard","completed","66","76","79"
"male","group D","associate's degree","standard","none","81","76","74"
"female","group C","bachelor's degree","standard","none","82","87","92"
"female","group E","some high school","standard","completed","70","74","75"
"male","group C","associate's degree","standard","none","78","84","77"
"female","group A","master's degree","free/reduced","completed","83","95","100"
"male","group D","some college","free/reduced","none","57","58","55"
"male","group C","some high school","standard","completed","69","67","65"
"male","group C","some high school","free/reduced","completed","76","86","79"
"female","group B","associate's degree","free/reduced","none","62","67","68"
"female","group D","some college","standard","completed","75","90","90"
"male","group B","associate's degree","free/reduced","none","54","50","49"
"male","group B","bachelor's degree","standard","none","85","75","66"
"female","group D","bachelor's degree","standard","completed","93","100","100"
"female","group E","associate's degree","standard","completed","59","72","74"
"female","group C","associate's degree","free/reduced","completed","68","90","85"
"female","group B","some high school","standard","completed","53","60","61"
"female","group C","high school","free/reduced","none","44","65","62"
"female","group A","associate's degree","standard","none","53","53","55"
"male","group E","some high school","standard","completed","95","89","90"
"female","group C","bachelor's degree","free/reduced","completed","55","71","72"
"female","group D","some college","standard","none","57","63","67"
"female","group C","some high school","free/reduced","none","35","59","52"
"male","group D","some high school","standard","none","67","56","55"
"male","group E","associate's degree","standard","none","100","91","89"
"female","group D","bachelor's degree","standard","completed","69","79","82"
"male","group B","high school","standard","completed","77","75","71"
"male","group A","high school","standard","none","56","60","52"
"male","group C","some college","standard","none","62","66","66"
"male","group C","some college","free/reduced","none","73","62","55"
"female","group D","some high school","standard","none","34","43","39"
"female","group D","some college","free/reduced","completed","50","60","61"
"female","group E","some college","free/reduced","none","84","84","81"
"male","group B","master's degree","standard","none","93","88","88"
"female","group C","associate's degree","standard","none","57","60","64"
"male","group B","associate's degree","free/reduced","completed","55","60","61"
"female","group D","associate's degree","standard","none","79","83","84"
"female","group A","some college","free/reduced","none","47","44","56"
"male","group E","some high school","standard","none","71","58","60"
"male","group D","some college","standard","none","80","83","80"
"female","group C","associate's degree","standard","none","74","91","93"
"male","group D","bachelor's degree","standard","none","66","71","72"
"female","group D","high school","standard","completed","84","86","94"
"male","group D","associate's degree","standard","completed","80","62","65"
"male","group C","high school","free/reduced","none","58","53","44"
"male","group A","associate's degree","standard","completed","70","65","65"
"female","group A","some college","free/reduced","none","41","54","55"
"male","group C","high school","standard","none","73","77","70"
"female","group B","bachelor's degree","standard","none","66","68","64"
"female","group B","some high school","standard","none","56","62","60"
"male","group B","high school","standard","none","71","69","67"
"female","group A","some college","standard","none","57","68","65"
"female","group A","associate's degree","free/reduced","none","59","75","72"
"male","group C","high school","standard","completed","84","77","79"
"male","group B","associate's degree","standard","completed","88","92","97"
"female","group E","associate's degree","standard","none","70","77","71"
"male","group C","high school","standard","none","82","78","76"
"female","group C","high school","standard","completed","73","94","88"
"female","group E","some high school","standard","none","72","76","75"
"male","group C","associate's degree","standard","none","68","60","60"
"female","group A","some college","standard","none","68","76","74"
"male","group C","some college","standard","completed","94","92","92"
"female","group E","high school","standard","completed","73","86","87"
"female","group D","some high school","standard","none","83","75","82"
"male","group C","associate's degree","standard","none","72","77","75"
"male","group E","some college","standard","none","81","78","73"
"female","group C","associate's degree","free/reduced","completed","46","52","49"
"male","group D","some college","standard","none","82","73","69"
"female","group B","some high school","standard","none","56","64","62"
"male","group B","master's degree","standard","none","80","71","71"
"female","group A","high school","standard","none","64","69","71"
"female","group D","high school","standard","none","57","65","64"
"female","group A","some college","standard","none","68","75","77"
"female","group C","bachelor's degree","standard","completed","90","93","96"
"male","group B","high school","standard","completed","78","74","72"
"female","group C","associate's degree","free/reduced","none","49","64","58"
"female","group C","high school","standard","none","57","68","63"
"female","group E","some high school","standard","completed","52","69","62"
"male","group B","some high school","standard","none","58","55","51"
"female","group D","bachelor's degree","free/reduced","none","47","56","53"
"male","group E","some high school","standard","completed","79","79","77"
"female","group C","some high school","free/reduced","none","64","77","63"
"female","group D","associate's degree","free/reduced","completed","78","95","100"
"female","group A","some high school","free/reduced","none","34","50","49"
"male","group B","some college","free/reduced","completed","66","55","57"
"female","group D","associate's degree","standard","none","73","64","71"
"male","group C","associate's degree","standard","completed","81","75","75"
"female","group E","master's degree","standard","none","84","91","90"
"male","group C","master's degree","standard","completed","73","86","84"
"male","group D","some college","free/reduced","completed","56","58","58"
