"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group C","high school","standard","completed","77","80","71"
"male","group D","high school","free/reduced","none","54","51","46"
"male","group C","some high school","standard","none","66","63","59"
"female","group B","bachelor's degree","standard","none","72","90","82"
"male","group B","some college","free/reduced","none","47","58","50"
"female","group B","high school","standard","none","60","70","72"
"female","group C","high school","free/reduced","completed","78","81","85"
"female","group D","some college","standard","completed","77","85","90"
"male","group C","high school","standard","none","54","47","45"
"male","group D","high school","standard","completed","74","69","71"
"female","group B","associate's degree","standard","none","49","53","58"
"male","group E","associate's degree","free/reduced","completed","85","83","84"
"male","group C","some college","standard","none","59","60","50"
"male","group B","some college","standard","none","46","40","36"
"male","group E","some college","standard","none","75","66","62"
"female","group D","associate's degree","free/reduced","completed","79","96","92"
"female","group C","some high school","standard","none","55","62","63"
"female","group D","bachelor's degree","standard","completed","61","82","85"
"female","group C","master's degree","standard","completed","67","81","87"
"female","group A","some high school","standard","none","59","63","61"
"male","group B","associate's degree","free/reduced","none","57","62","56"
"female","group D","some high school","standard","none","55","71","70"
"male","group D","associate's degree","standard","none","83","75","76"
"male","group D","associate's degree","standard","completed","88","76","78"
"male","group D","high school","free/reduced","none","46","50","47"
"male","group C","bachelor's degree","standard","none","100","99","84"
"male","group C","some college","free/reduced","none","42","47","35"
"male","group A","high school","standard","completed","65","66","65"
"female","group E","associate's degree","standard","none","79","78","75"
"female","group D","high school","standard","none","62","69","67"
"male","group B","high school","standard","completed","64","69","60"
"male","group D","bachelor's degree","standard","completed","100","100","100"
"female","group B","some college","standard","none","82","85","82"
"male","group D","master's degree","standard","none","68","61","64"
"male","group C","bachelor's degree","free/reduced","completed","73","70","72"
"male","group B","associate's degree","standard","completed","73","72","71"
"female","group C","some college","standard","none","51","54","51"
"male","group C","associate's degree","standard","completed","83","84","80"
"male","group B","some high school","standard","completed","82","71","67"
"male","group D","some high school","free/reduced","completed","77","78","73"
"male","group C","high school","standard","none","63","59","58"
"female","group A","associate's degree","standard","none","93","99","97"
"female","group B","some college","standard","none","45","55","59"
"female","group D","high school","standard","none","53","63","61"
"female","group D","bachelor's degree","standard","none","75","76","76"
"male","group A","some high school","free/reduced","completed","70","74","72"
"female","group D","bachelor's degree","free/reduced","none","72","82","85"
"male","group C","high school","standard","none","82","75","71"
"female","group D","associate's degree","standard","none","55","60","60"
"female","group E","some college","free/reduced","completed","50","62","61"
"female","group B","some high school","standard","none","61","64","71"
"male","group E","some college","standard","none","100","92","88"
"female","group D","high school","standard","none","57","70","69"
"female","group B","some college","standard","none","44","58","57"
"female","group D","high school","standard","none","71","72","79"
"male","group D","high school","free/reduced","none","45","39","35"
"female","group D","high school","standard","none","49","56","54"
"female","group B","associate's degree","free/reduced","completed","20","42","41"
"male","group C","high school","free/reduced","none","74","69","63"
"male","group E","some college","standard","none","90","79","76"
"female","group B","some college","standard","completed","54","64","70"
"female","group C","high school","standard","none","48","57","60"
"female","group D","bachelor's degree","standard","none","89","93","96"
"female","group E","some college","free/reduced","none","78","83","81"
"male","group D","associate's degree","standard","completed","85","75","76"
"female","group D","some college","standard","none","64","68","68"
"male","group E","some college","free/reduced","completed","88","91","86"
"male","group B","some high school","standard","completed","66","65","60"
"male","group B","associate's degree","standard","completed","71","58","64"
"female","group B","some college","free/reduced","none","66","76","77"
"female","group D","some high school","free/reduced","none","60","66","69"
"male","group D","bachelor's degree","free/reduced","completed","54","60","58"
"male","group C","associate's degree","free/reduced","completed","48","50","51"
"male","group C","high school","free/reduced","none","30","28","22"
"male","group B","bachelor's degree","standard","none","59","57","59"
"male","group B","some high school","standard","none","62","45","44"
"female","group C","bachelor's degree","standard","none","86","95","90"
"female","group B","high school","standard","none","62","69","60"
"male","group C","high school","free/reduced","none","55","50","43"
"male","group B","bachelor's degree","standard","completed","84","84","85"
"female","group C","associate's degree","standard","none","62","73","73"
"female","group C","some college","standard","none","61","73","72"
"male","group D","high school","standard","none","96","90","87"
"female","group D","some college","standard","none","53","60","67"
"female","group B","associate's degree","standard","none","75","86","88"
"male","group E","associate's degree","standard","none","99","89","84"
"male","group B","high school","free/reduced","none","58","58","57"
"female","group D","high school","standard","none","84","89","89"
"female","group A","bachelor's degree","standard","none","65","58","60"
"female","group D","associate's degree","standard","none","47","66","62"
"male","group D","bachelor's degree","standard","completed","80","74","76"
"male","group E","master's degree","standard","none","44","42","44"
"female","group B","high school","standard","none","59","59","58"
"female","group E","associate's degree","standard","completed","100","100","100"
"male","group A","associate's degree","standard","none","88","74","76"
"male","group C","associate's degree","standard","completed","91","99","92"
"female","group C","high school","standard","completed","76","91","91"
"female","group D","master's degree","standard","none","81","85","88"
